staid,station_name,latitude,longitude,elevation,source_file
2541,NETHERLANDS VOORSCHOTEN,52.13305555555556,4.433055555555556,-6,indexCDD_002541.txt
2542,NETHERLANDS VOORTHUIZEN,52.183055555555555,5.616666666666667,14,indexCDD_002542.txt
2543,NETHERLANDS VROOMSHOOP,52.45,6.566666666666666,8,indexCDD_002543.txt
2544,NETHERLANDS VROUWENPOLDER,51.58305555555556,3.583055555555555,16,indexCDD_002544.txt
2545,NETHERLANDS WAGENINGEN (PD),51.96666666666667,5.65,15,indexCDD_002545.txt
2546,NETHERLANDS WAPENVELD,52.433055555555555,6.083055555555555,2,indexCDD_002546.txt
2547,NETHERLANDS WEERT,51.25,5.7,32,indexCDD_002547.txt
2548,NETHERLANDS WEST BEEMSTER,52.58305555555556,4.9,-3,indexCDD_002548.txt
2549,NETHERLANDS WESTKAPELLE,51.533055555555556,3.45,1,indexCDD_002549.txt
2550,NETHERLANDS WIJK BIJ DUURSTEDE,51.96666666666667,5.316666666666666,6,indexCDD_002550.txt
2551,NETHERLANDS WINSCHOTEN,53.13305555555556,7.05,0,indexCDD_002551.txt
2552,NETHERLANDS WOLPHAARTSDIJK,51.533055555555556,3.7330555555555556,1,indexCDD_002552.txt
2553,NETHERLANDS WOLTERSUM,53.266666666666666,6.716666666666667,-1,indexCDD_002553.txt
2554,NETHERLANDS WOOLD,51.916666666666664,6.733055555555556,48,indexCDD_002554.txt
2555,NETHERLANDS ZAANDAM (HEMBRUG),52.416666666666664,4.833055555555555,18,indexCDD_002555.txt
2556,NETHERLANDS ZALTBOMMEL,51.8,5.266666666666667,3,indexCDD_002556.txt
2557,NETHERLANDS ZEEWOLDE,52.38305555555556,5.366666666666666,-3,indexCDD_002557.txt
2558,NETHERLANDS ZEEWOLDE (SCHILLINKWEG),52.3,5.416666666666667,-3,indexCDD_002558.txt
2559,NETHERLANDS ZEGVELD,52.13305555555556,4.833055555555555,-2,indexCDD_002559.txt
2560,NETHERLANDS ZETTEN,51.933055555555555,5.716666666666667,8,indexCDD_002560.txt
2561,NETHERLANDS ZOETERMEER,52.06666666666667,4.533055555555555,-5,indexCDD_002561.txt
2562,NETHERLANDS ZWOLLE,52.533055555555556,6.133055555555555,2,indexCDD_002562.txt
2563,NETHERLANDS DEELEN,52.055,5.871944444444445,50,indexCDD_002563.txt
2564,NETHERLANDS EELDE-1,53.11666666666667,6.583055555555555,4,indexCDD_002564.txt
